ano,departamento,municipio,numero_de_muestras,promedio_irca
2015,Santander,Pinchote,10,5.19
2015,Santander,San Benito,5,27.14
2015,Santander,Santa Bárbara,11,14.6
2015,Santander,Jordán,8,22.93
2015,Santander,Betulia,10,8.05
2015,Santander,Contratación,11,23.41
2015,Santander,Florián,7,40.64
2015,Santander,Mogotes,11,4.65
2015,Santander,Barbosa,9,30.99
2015,Santander,Páramo,5,6.88
2015,Santander,Encino,7,17.51
2015,Santander,Chipatá,6,0.2
2015,Santander,Simacota,11,3.12
2015,Santander,Sucre,7,42.57
2015,Santander,Molagavita,11,18.84
2015,Santander,San Vicente De Chucurí,43,21.75
2015,Santander,Oiba,12,0.44
2015,Santander,Capitanejo,9,27.08
2015,Santander,Palmas Del Socorro,20,8.72
2015,Santander,Socorro,32,6.21
2015,Santander,Charalá,8,0
2015,Santander,Puerto Parra,11,44.55
2015,Santander,Cepitá,9,10.76
2015,Santander,Palmar,10,1.7
2015,Santander,Cerrito,9,20.78
2015,Santander,Barrancabermeja,140,2.33
2015,Santander,Enciso,9,17.01
2015,Santander,Guapotá,1,0
2015,Santander,Landázuri,4,0
2015,Santander,La Belleza,8,17.35
2015,Santander,Charta,10,21.58
2015,Santander,Cimitarra,8,16.97
2015,Santander,Zapatoca,7,2.71
2015,Santander,El Guacamayo,12,17.27
2015,Santander,Ocamonte,5,6.82
2015,Santander,Güepsa,6,14.06
2015,Santander,Santa Helena Del Opón,8,65.76
2015,Santander,Floridablanca,20,1.88
2015,Santander,La Paz,9,25.05
2015,Santander,Los Santos,10,4.54
2015,Santander,Tona,12,16.25
2015,Santander,Guadalupe,12,10.35
2015,Santander,Onzaga,8,12.59
2015,Santander,Lebrija,30,7.56
2015,Santander,Albania,7,32
2015,Santander,Jesús María,7,18.59
2015,Santander,Guavatá,11,9.52
2015,Santander,San Andrés,8,12.66
2015,Santander,Barichara,11,4.38
2015,Santander,Piedecuesta,144,0.62
2015,Santander,Curití,10,13.89
2015,Santander,Macaravita,7,18.17
2015,Santander,Girón,73,1.4
2015,Santander,San Gil,72,2.69
2015,Santander,Vélez,8,26.71
2015,Santander,Puente Nacional,11,9.55
2015,Santander,Matanza,5,3.53
2015,Santander,Confines,2,8.52
2015,Santander,El Playón,11,50.4
2015,Santander,Sabana De Torres,46,8.26
2015,Santander,Bucaramanga,196,2.68
2015,Santander,Carcasí,8,8.88
2015,Santander,Concepción,9,24.62
2015,Santander,Valle De San José,6,14.37
2015,Santander,Cabrera,11,7.03
2015,Santander,El Peñón,7,18.14
2015,Santander,Villanueva,7,2.68
2015,Santander,San Joaquín,7,4.95
2015,Santander,Aguada,9,9.87
2015,Santander,Málaga,15,3.98
2015,Santander,Vetas,4,43.15
2015,Santander,San Miguel,11,3.3
2015,Santander,California,8,4.4
2015,Santander,Coromoro,3,27.53
2015,Santander,Rionegro,10,20.57
2015,Santander,Hato,10,3.54
2015,Santander,El Carmen De Chucurí,6,0.28
2015,Santander,Suratá,12,23.27
2015,Santander,Guaca,11,12.98
2015,Santander,Bolívar,8,4.81
2015,Santander,Chima,11,11.66
2015,Santander,Gambita,10,16.69
2015,Santander,Aratoca,9,31.93
2015,Santander,San José De Miranda,9,14.73
2015,Santander,Suaita,9,16.04
2015,Santander,Puerto Wilches,20,41.69
2015,Santander,Galán,11,13.39
